Model,Cost Time /s,Platform
MobileNet V1,3.2780443628629046e-05,GPU
MobileNet V1,3.337872525056203e-05,GPU
MobileNet V1,3.272996594508489e-05,GPU
MobileNet V1,3.546954443057378e-05,GPU
MobileNet V1,3.28413521250089e-05,GPU
MobileNet V1,3.389399498701096e-05,GPU
MobileNet V1,3.310404717922211e-05,GPU
MobileNet V1,3.2899094124635066e-05,GPU
MobileNet V1,3.2842283447583515e-05,GPU
MobileNet V1,3.297664225101471e-05,GPU
MobileNet V1,3.5538276036580405e-05,GPU
MobileNet V1,3.313676764567693e-05,GPU
MobileNet V1,3.5719573497772215e-05,GPU
MobileNet V1,3.4269504249095915e-05,GPU
MobileNet V1,3.292957941691081e-05,GPU
MobileNet V1,3.319730361302694e-05,GPU
MobileNet V1,3.602591653664907e-05,GPU
MobileNet V1,3.2877177000045775e-05,GPU
MobileNet V1,3.288338581720988e-05,GPU
MobileNet V1,3.443801154692968e-05,GPU
MobileNet V1,3.3548598488171895e-05,GPU
MobileNet V1,3.549599399169286e-05,GPU
MobileNet V1,3.304711232582728e-05,GPU
MobileNet V1,3.434251993894577e-05,GPU
MobileNet V1,3.327031930287679e-05,GPU
MobileNet V1,3.293740252653758e-05,GPU
MobileNet V1,3.624005864063899e-05,GPU
MobileNet V1,3.448991725842158e-05,GPU
MobileNet V1,3.345621128877004e-05,GPU
MobileNet V1,3.2891333103179934e-05,GPU
MobileNet V2,4.1044193009535473e-05,GPU
MobileNet V2,4.129447042942047e-05,GPU
MobileNet V2,4.356180628140767e-05,GPU
MobileNet V2,4.2134958008925126e-05,GPU
MobileNet V2,4.344241072734198e-05,GPU
MobileNet V2,4.301940401395162e-05,GPU
MobileNet V2,4.421031723419825e-05,GPU
MobileNet V2,4.201177507638931e-05,GPU
MobileNet V2,4.245694726705551e-05,GPU
MobileNet V2,4.211875299612681e-05,GPU
MobileNet V2,4.198160022497177e-05,GPU
MobileNet V2,4.249655952056249e-05,GPU
MobileNet V2,4.3155439198017116e-05,GPU
MobileNet V2,4.242093612750372e-05,GPU
MobileNet V2,4.113658020893732e-05,GPU
MobileNet V2,4.163899769385656e-05,GPU
MobileNet V2,4.144379248221715e-05,GPU
MobileNet V2,4.1506936152776086e-05,GPU
MobileNet V2,4.15923073887825e-05,GPU
MobileNet V2,4.183668643236161e-05,GPU
MobileNet V2,4.1643157601356506e-05,GPU
MobileNet V2,4.1853884855906165e-05,GPU
MobileNet V2,4.184662053982417e-05,GPU
MobileNet V2,4.194173961877823e-05,GPU
MobileNet V2,4.350095987319946e-05,GPU
MobileNet V2,4.1646013657252e-05,GPU
MobileNet V2,4.176838944355647e-05,GPU
MobileNet V2,4.3278435866038006e-05,GPU
MobileNet V2,4.28128366669019e-05,GPU
MobileNet V2,4.15767232577006e-05,GPU
