Model,Cost Time
A,4.701241850852967e-05
A,4.755755265553792e-05
A,4.7606540222962696e-05
A,4.762584964434305e-05
A,4.784427583217621e-05
A,4.7853589057922365e-05
A,4.806071519851684e-05
A,4.813931882381438e-05
A,4.815577218929927e-05
A,4.823934286832809e-05
A,4.832707345485687e-05
A,4.833284765481949e-05
A,4.83393669128418e-05
A,4.839530835549037e-05
A,4.8397171000639603e-05
A,4.8435231049855544e-05
A,4.8510730266571045e-05
A,4.856865853071213e-05
A,4.8622054358323415e-05
A,4.868805408477783e-05
A,4.8762063185373944e-05
A,4.8795404533545174e-05
A,4.8800433675448106e-05
A,4.882551729679108e-05
A,4.890263080596925e-05
A,4.892355451981226e-05
A,4.89358479777972e-05
A,4.9076477686564135e-05
A,4.912639657656352e-05
A,4.925051083167394e-05
B,4.6971440315246586e-05
B,4.7039551039536796e-05
B,4.711939642826717e-05
B,4.717310269673666e-05
B,4.7301252683003746e-05
B,4.730379829804102e-05
B,4.73247841000557e-05
B,4.7384202480316163e-05
B,4.741735756397247e-05
B,4.7444800535837816e-05
B,4.7476775944232937e-05
B,4.748223970333735e-05
B,4.748447487751642e-05
B,4.748571664094925e-05
B,4.749887933333715e-05
B,4.7500804066658025e-05
B,4.750614364941915e-05
B,4.751943051815033e-05
B,4.7520237664381663e-05
B,4.753948499759039e-05
B,4.7568045556545254e-05
B,4.758120824893315e-05
B,4.7585802773634594e-05
B,4.759449511766433e-05
B,4.760567098855973e-05
B,4.764255136251449e-05
B,4.76622333129247e-05
B,4.767651359240214e-05
B,4.772872974475225e-05
B,4.773841549952825e-05
C,4.631634801626205e-05
C,4.745330661535263e-05
C,4.7453865408897404e-05
C,4.7703273594379425e-05
C,4.7745121022065475e-05
C,4.782117903232574e-05
C,4.783378293116887e-05
C,4.78557621439298e-05
C,4.787718256314596e-05
C,4.7959201037883754e-05
C,4.8018681506315865e-05
C,4.8082446058591205e-05
C,4.809020708004634e-05
C,4.8119202256202696e-05
C,4.814056058724721e-05
C,4.8153909544150036e-05
C,4.816707223653793e-05
C,4.8183649778366085e-05
C,4.818371186653773e-05
C,4.8219288388888033e-05
C,4.8239032427469886e-05
C,4.8265668253103894e-05
C,4.8266785840193436e-05
C,4.829143484433492e-05
C,4.831211020549139e-05
C,4.8313538233439124e-05
C,4.843330631653468e-05
C,4.847384989261627e-05
C,4.84853982925415e-05
C,4.850278298060099e-05
D,4.6010129153728485e-05
D,4.663156966368357e-05
D,4.682727158069611e-05
D,4.683050016562144e-05
D,4.7059170901775355e-05
D,4.710331559181213e-05
D,4.724307606617609e-05
D,4.725766678651174e-05
D,4.732981324195862e-05
D,4.738041510184606e-05
D,4.74071130156517e-05
D,4.743834336598714e-05
D,4.750217000643413e-05
D,4.757797966400782e-05
D,4.759126653273901e-05
D,4.759797205527623e-05
D,4.7599524259567266e-05
D,4.76020077864329e-05
D,4.7646028300126386e-05
D,4.767744491497675e-05
D,4.7684895495573676e-05
D,4.770296315352122e-05
D,4.7715380787849426e-05
D,4.772022366523743e-05
D,4.772860556840897e-05
D,4.773736000061035e-05
D,4.774797707796097e-05
D,4.778442283471425e-05
D,4.780801633993785e-05
D,4.78176400065422e-05
